Ampere,Tension
-0.001577591,-39.9989357
-0.001576359,-39.49980545
-0.001568924,-38.99991608
-0.00156489,-38.50115204
-0.001562701,-37.99838257
-0.001561549,-37.49951172
-0.00155832,-37.00031662
-0.001552692,-36.50090408
-0.001551366,-36.00195313
-0.0015485,-35.49896622
-0.001546293,-35.00007248
-0.001541718,-34.50063705
-0.00153674,-34.00137711
-0.001534169,-33.49912262
-0.001533062,-32.99953079
-0.001524329,-32.50043106
-0.001525876,-32.00020218
-0.001519917,-31.50123024
-0.001513831,-30.99903107
-0.001509392,-30.49943733
-0.001509321,-30.00029755
-0.001499486,-29.50107956
-0.001500503,-28.99852753
-0.001491359,-28.49938393
-0.001490803,-27.99991989
-0.001488673,-27.50095177
-0.00148286,-26.99801064
-0.001477486,-26.49890137
-0.00147527,-25.99953079
-0.001471959,-25.50016594
-0.001465285,-25.0012722
-0.001460841,-24.49863815
-0.001456324,-23.99978447
-0.001450746,-23.50002098
-0.001450102,-23.00115967
-0.001443861,-22.49882507
-0.00143741,-21.99914932
-0.001436084,-21.50019073
-0.00143088,-21.00078964
-0.001423172,-20.50188446
-0.001417019,-19.9987011
-0.001414676,-19.49981499
-0.001409212,-19.00072098
-0.001399783,-18.50016594
-0.001398332,-17.99816513
-0.001389518,-17.4987793
-0.001385076,-16.99951363
-0.001380294,-16.50065994
-0.00137791,-16.00123024
-0.001370488,-15.49881363
-0.001361849,-14.999053
-0.00135872,-14.49991035
-0.00135663,-14.00113392
-0.001345126,-13.49790478
-0.001342955,-12.99905109
-0.001334783,-12.4996109
-0.001331792,-12.00028419
-0.001323081,-11.49734116
-0.001318088,-10.99833107
-0.001311867,-10.49952888
-0.001308176,-9.999736786
-0.001303108,-9.500929832
-0.001294863,-8.99834919
-0.001289711,-8.498947144
-0.001276964,-7.999984264
-0.00127468,-7.500535488
-0.001264781,-6.998106003
-0.001257519,-6.498511791
-0.001248072,-5.999548912
-0.001240671,-5.49960041
-0.00123258,-4.999848366
-0.001220309,-4.497829437
-0.001211316,-3.998490572
-0.001198414,-3.499429703
-0.001188136,-2.999688625
-0.00117307,-2.497433662
-0.001156704,-1.998274565
-0.001137828,-1.498576999
-0.001120906,-0.999610186
-0.001097151,-0.500160277
-0.001064478,0.002147229
-0.001033546,0.497723967
-0.000992569,0.999077857
-0.000939794,1.497790575
-0.000876495,2.000673532
-0.000801571,2.499772072
-0.000709588,2.998263121
-0.000593228,3.497841835
-0.000460329,3.99963069
-0.000296913,4.498766422
-0.000117045,4.997192383
0.000116652,5.496688843
0.000398494,5.995666027
0.00073256,6.49714613
0.001113853,6.998095989
0.001588593,7.49705267
0.00215153,7.996269703
0.002823967,8.498618126
0.003615218,8.997555733
0.00454796,9.496668816
0.00566057,9.99535656
0.006988091,10.49794674
0.008541398,10.99650478
0.010368352,11.49498749
0.012511979,11.99687767
0.015065303,12.49934864
0.017993715,12.99855137
0.021467458,13.49747753
0.025506089,13.99722481
0.030041292,14.49605274
0.035315573,14.99811649
0.041180477,15.49784184
0.047165237,15.99649239
0.053594247,16.49575424
0.059760898,16.99816895
0.065121353,17.49701881
0.06969776,17.99626923
0.073345713,18.4949398
0.076567702,18.99877739
0.079507992,19.49760628
0.082136899,19.99650192
0.084508382,20.49605942
0.086665966,20.99831581
0.088635787,21.4975605
0.090511963,21.99647522
0.092244111,22.49612427
0.093841918,22.99504852
0.095366314,23.49719048
0.097111598,23.99672508
0.09819036,24.49576378
0.099767715,24.99484825
0.100790925,25.4974308
0.102088854,25.99632263
0.103151113,26.49573898
0.104302511,26.99452591
0.105003729,27.25286102
0.10500259,27.29389763
0.105003066,27.26305199
0.105002239,27.1294899
0.105002835,27.24936676
0.105002098,27.16966248
0.10500399,27.08244514
0.105002522,27.19674301
0.105002552,27.15860176
0.105002075,26.75120163
0.105002165,25.64982033
0.105001971,25.64608383
0.105001479,25.67042923
0.105001852,25.67568779
0.105002567,25.61990929
0.105003349,25.67974091
0.105002321,25.58368874
0.105001979,25.47829437
0.10500285,25.59848976
0.105002545,25.62932014
0.105003081,25.68063545
0.105001889,25.59266663
0.105002306,25.5865345
0.105002604,25.84814835
0.105000958,25.85120583
0.105003193,25.69540215
0.105002545,25.88656616
0.105002746,25.75834084
0.105002142,25.99262428
0.105002709,25.96905899
0.105002917,26.03847885
0.105002247,26.18073845
0.105001405,26.07953835
0.105002582,26.13896942
0.105002269,26.25636673
0.105001375,26.34127998
0.105002798,26.42068481
0.105003409,26.48537064
0.105002858,26.52761841
0.105001949,26.63438988
0.105001792,26.86675262
0.105002098,26.71985435
0.105002269,27.06450653
0.105002649,26.9467907
0.105002269,27.1620636
0.105000645,27.35090256
0.105001748,27.58872414
0.105001375,27.64117241
0.105001494,27.81903839
0.104985975,27.91765404
0.103730366,27.49755478
0.10221795,26.99480629
0.100734882,26.49578857
0.099383071,25.99630737
0.097885966,25.49742126
0.096014082,24.99505043
0.094357349,24.49573898
0.092699654,23.99689102
0.090978682,23.49735832
0.089242525,22.99519348
0.087446086,22.49635506
0.085646294,21.99670792
0.083634742,21.4977684
0.081560656,20.99845314
0.079644941,20.49632454
0.077460594,19.99655914
0.075514562,19.49759102
0.073037624,18.99872589
0.070439309,18.49504852
0.067456134,17.9962883
0.064034827,17.49700737
0.059691992,16.99814034
0.054367967,16.49579811
0.048526932,15.99643517
0.042596705,15.49783516
0.036787324,14.99802971
0.031383883,14.49590588
0.026494198,13.99716473
0.022158107,13.49742794
0.018523632,12.99853992
0.01537405,12.49925327
0.012655105,11.99686432
0.010429048,11.49714661
0.008531841,10.99652863
0.00696874,10.49788952
0.005615473,9.995379448
0.004520866,9.496657372
0.003598424,8.997511864
0.002820572,8.498616219
0.002162345,7.996226788
0.001628894,7.497051239
0.001177014,6.998098373
0.000810085,6.497023582
0.00049508,5.995375633
0.000234361,5.496443272
1.85E-05,4.996619225
-0.000160104,4.498461723
-0.000314758,3.999342203
-0.00044372,3.497515917
-0.000550657,2.998033285
-0.000637544,2.499377728
-0.000710401,2.000349998
-0.000772765,1.497413993
-0.000824466,0.998716176
-0.000867499,0.499354631
-0.000901407,0.000518068
-0.000932424,-0.499098957
-0.000960683,-0.998481989
-0.00098355,-1.497478843
-0.001003791,-1.997082829
-0.001022321,-2.496258497
-0.001038876,-2.998570442
-0.001059352,-3.499432802
-0.001073491,-3.998469114
-0.001086856,-4.497740269
-0.001098073,-4.999797344
-0.001110586,-5.499620438
-0.001121587,-5.999552727
-0.001132081,-6.49857378
-0.001142906,-6.99805212
-0.001151763,-7.500621319
-0.001161381,-7.999973297
-0.001168168,-8.498977661
-0.001179645,-8.998299599
-0.001186937,-9.501019478
-0.001196815,-9.999709129
-0.001205031,-10.49953842
-0.001209668,-10.99833488
-0.001220979,-11.4972477
-0.001227675,-12.00028324
-0.001236511,-12.49960232
-0.001242277,-12.99917221
-0.001251397,-13.49800491
-0.001258348,-14.00115204
-0.001265698,-14.49993896
-0.001273884,-14.99909019
-0.0012804,-15.49880219
-0.001286134,-16.00122261
-0.001293705,-16.50068665
-0.001302845,-16.99951744
-0.001306876,-17.49883842
-0.001313492,-17.99820518
-0.001319845,-18.50022125
-0.001326488,-19.00080109
-0.001334801,-19.49984932
-0.001342877,-19.99874878
-0.001349031,-20.50195885
-0.001352255,-21.00086975
-0.001358138,-21.50026321
-0.001364426,-21.99922371
-0.001370496,-22.49890709
-0.001376728,-23.00120735
-0.00138413,-23.500103
-0.001390663,-23.99986076
-0.001396677,-24.49873734
-0.001404642,-25.00135803
-0.001409572,-25.50022507
-0.001414698,-25.999506
-0.001424919,-26.49895096
-0.001426856,-26.99807167
-0.001434999,-27.50099564
-0.001440552,-28.00002861
-0.001443826,-28.49952888
-0.001450617,-28.99860382
-0.001458657,-29.50104523
-0.001463452,-30.00028229
-0.001469623,-30.49942589
-0.001476474,-30.99912453
-0.001482938,-31.50120163
-0.001494301,-32.0002594
-0.001496952,-32.50057983
-0.001503473,-32.99958038
-0.001508159,-33.49919128
-0.001519393,-34.00138474
-0.001518579,-34.50068283
-0.001528062,-35.00014114
-0.001529824,-35.4989624
-0.001537152,-36.00201416
-0.00154843,-36.50087738
-0.001550511,-37.00042725
-0.001556333,-37.49956894
-0.001561879,-37.99845886
-0.001563698,-38.50123978
-0.001571483,-38.99997711
-0.001582526,-39.499897
-0.001583187,-39.99898911
-0.001589459,-39.99898529
-0.001582522,-39.49989319
-0.001579252,-38.99994278
-0.00157685,-38.50117111
-0.001569376,-37.99846268
-0.001573549,-37.49956512
-0.001567457,-37.00043106
-0.001562924,-36.50089264
-0.001559771,-36.00196075
-0.001556676,-35.4989624
-0.001550432,-35.00009155
-0.001551242,-34.50059891
-0.001549399,-34.00135422
-0.001540964,-33.49917984
-0.001537468,-32.9995842
-0.001537092,-32.50046539
-0.00153405,-32.00021362
-0.001531504,-31.50120926
-0.001522303,-30.9990654
-0.001518626,-30.49943924
-0.001512038,-30.00032043
-0.001507794,-29.50111008
-0.001509345,-28.99858856
-0.001500546,-28.49950218
-0.001496625,-27.99999809
-0.001492756,-27.50103188
-0.001489056,-26.99807739
-0.001485604,-26.49896622
-0.001484495,-25.99956894
-0.001478802,-25.50019073
-0.001475888,-25.00139236
-0.001468795,-24.49871826
-0.001465112,-23.99983406
-0.001465959,-23.50000191
-0.001456137,-23.00115395
-0.001453258,-22.49893951
-0.001451509,-21.99921608
-0.001445154,-21.50028229
-0.001442407,-21.00091362
-0.001436752,-20.50200653
-0.001430888,-19.99880409
-0.001428126,-19.49992943
-0.001423281,-19.00077057
-0.001414574,-18.50022507
-0.001415137,-17.99826241
-0.001406073,-17.49881744
-0.001403595,-16.99957848
-0.001396522,-16.50066948
-0.001389165,-16.00123405
-0.001384628,-15.49887657
-0.001382099,-14.99909496
-0.001375233,-14.49999619
-0.001374394,-14.00122643
-0.001365857,-13.49805641
-0.001361182,-12.99922371
-0.001355438,-12.4997282
-0.001347228,-12.00033379
-0.001343724,-11.49730682
-0.001335648,-10.99838638
-0.001329442,-10.4995575
-0.001327155,-9.999872208
-0.001317124,-9.501003265
-0.001313715,-8.998324394
-0.001305761,-8.498945236
-0.001297601,-8.000029564
-0.00129404,-7.500666142
-0.001285403,-6.998140812
-0.001273148,-6.498538494
-0.001265345,-5.999561787
-0.001258084,-5.499682426
-0.001251105,-4.999959469
-0.001234876,-4.497817516
-0.001228227,-3.998520851
-0.001215948,-3.499486685
-0.001201134,-2.999774456
-0.001189241,-2.497439384
-0.001171135,-1.998310208
-0.001152228,-1.49873805
-0.001128816,-0.999690235
-0.001100817,-0.500324249
-0.001069595,0.00192628
-0.0010335,0.497625619
-0.000995258,0.998978078
-0.000937989,1.497704268
-0.000870733,2.000598192
-0.000797786,2.499622107
-0.000703089,2.998196363
-0.000587338,3.497870207
-0.000444663,3.99943614
-0.000279112,4.498597145
-8.09E-05,4.998859406
0.000146028,5.496549129
0.000437885,5.995506763
0.000783579,6.497056484
0.001180134,6.997989178
0.001673436,7.496970177
0.002256088,7.996156216
0.002953548,8.498517036
0.003775438,8.997416496
0.00475402,9.496516228
0.005908865,9.99522686
0.007286587,10.49765778
0.00890095,10.99638176
0.010801358,11.4970665
0.013070523,11.99681473
0.015734363,12.49920082
0.01884409,12.99850082
0.022442563,13.49735832
0.026664782,13.99712849
0.031458285,14.49584579
0.03694009,14.99791241
0.042945497,15.49766445
0.049275048,15.99629211
0.055841893,16.49564362
0.062092174,16.99793053
0.067474671,17.49689484
0.071821928,17.99609947
0.075515091,18.49480247
0.078844368,18.99850845
0.081579499,19.49733353
0.084384948,19.99633789
0.086990707,20.49595642
0.089089312,20.99821663
0.091173895,21.49746513
0.092939176,21.99631119
0.094765969,22.49603844
0.096478082,22.99498749
0.09813422,23.49700737
0.099409349,23.99669456
0.100987338,24.4955101
0.102168381,24.99471855
0.103699908,25.49714851
0.104675643,25.93300819
0.105001882,26.10576248
0.105002552,26.08595085
0.105001383,25.99802017
0.105002701,25.86180878
0.10500253,26.02781487
0.105002038,26.02249336
0.10500212,26.02785873
0.105002336,26.12206841
0.105001479,26.0600071
0.105002888,26.02682114
0.105002359,26.02239799
0.105002351,26.02696419
0.105002254,26.02889061
0.105002292,26.06079674
0.10500253,26.07171249
0.105002292,26.0857811
0.105002098,26.04566574
0.105002806,26.11696434
0.105002396,26.17249489
0.105001859,26.17902756
0.105002396,26.22517014
0.105002604,26.23381233
0.105002455,26.33452606
0.105001748,26.3457222
0.105001837,26.4317112
0.105001658,26.37421227
0.105002463,26.60648727
0.105002083,26.58810043
0.105001509,26.73534584
0.105001599,26.75849724
0.105002433,26.79906654
0.105002455,26.83116913
0.105003156,26.95840073
0.105001897,26.99616432
0.105001993,27.0988102
0.105001673,27.34678459
0.105002113,27.32754707
0.105002575,27.41755676
0.105002031,27.6401844
0.10500177,27.68901062
0.105002187,27.75566673
0.105002023,27.87870789
0.105002567,28.03002167
0.105001479,28.28990936
0.105001956,28.1727829
0.105001889,27.79944229
0.105001852,27.88087273
0.105002537,27.91828346
0.105001688,28.06125259
0.105001919,28.1502018
0.105001599,28.18725204
0.104475915,27.99629784
0.102797002,27.49746704
0.101072274,26.99481392
0.099179164,26.49572182
0.097456649,25.99624634
0.095496252,25.49740219
0.09358453,24.99489212
0.091599949,24.49576569
0.089580938,23.99689102
0.087044127,23.49736977
0.084991708,22.99523354
0.083540715,22.49625969
0.081514589,21.99664307
0.079784892,21.49780083
0.07794252,20.99847221
0.075925574,20.49628448
0.073923253,19.9966526
0.071914703,19.49756241
0.069504358,18.99878311
0.067010917,18.49501228
0.064439103,17.99633598
0.061342005,17.49695396
0.057346571,16.99814224
0.052505821,16.49568367
0.046947986,15.99637604
0.041280165,15.49770451
0.035629053,14.99796963
0.030291783,14.49589634
0.025516456,13.99715137
0.02127694,13.49744034
0.017739084,12.99857521
0.014653645,12.4992218
0.012053979,11.99679089
0.009868434,11.49505329
0.008052799,10.99666595
0.006522644,10.49804306
0.005259819,9.99538517
0.004195059,9.496647835
0.003330202,8.997518539
0.002606384,8.498579025
0.001991348,7.996190548
0.001490609,7.497033596
0.0010701,6.998066902
0.000724295,6.497062683
0.000433289,5.995459557
0.000188697,5.49640131
-1.09E-05,4.997058392
-0.00017763,4.49848938
-0.000321297,3.999303579
-0.00044042,3.497405291
-0.000539595,2.997968674
-0.000621677,2.49930191
-0.000689727,2.000344038
-0.000747962,1.497381806
-0.000794832,0.998561084
-0.000834893,0.499173731
-0.000868515,0.00035237
-0.000896849,-0.499152899
-0.000923118,-0.998547673
-0.000945664,-1.497543573
-0.000965979,-1.997131944
-0.000983441,-2.49618268
-0.00100084,-2.9985466
-0.001015513,-3.498259544
-0.001029579,-3.997297049
-0.001043071,-4.496622086
-0.001061106,-4.999848843
-0.001074452,-5.499588013
-0.001085512,-5.999520302
-0.001096792,-6.498540878
-0.001107074,-6.998123169
-0.001117922,-7.500691891
-0.001128931,-8.000053406
-0.001135253,-8.498923302
-0.001148054,-8.998279572
-0.001157634,-9.500873566
-0.001162302,-9.999642372
-0.001170509,-10.49956131
-0.001180241,-10.99836159
-0.001187263,-11.49721622
-0.001194108,-12.00024033
-0.001203238,-12.49963379
-0.001211233,-12.99921513
-0.001220388,-13.4979887
-0.001225795,-14.00113583
-0.001235246,-14.50000095
-0.001243586,-14.99905205
-0.001247515,-15.49876308
-0.001253305,-16.00123405
-0.001262329,-16.50062943
-0.001266124,-16.99949265
-0.001276434,-17.49884224
-0.001279202,-17.99825096
-0.00128831,-18.50017166
-0.001294151,-19.00077438
-0.001304239,-19.49991035
-0.001309695,-19.99868774
-0.001314748,-20.50199127
-0.001323113,-21.00086021
-0.001329246,-21.50028419
